x,Proteome_ID,Tax_ID,OSCODE,SUPERREGNUM,#(1),#(2),#(3),Species Name
3,UP000266453,1678846,None,eukaryota,4966,0,4966,Alternaria sp. MG1
23,UP001147752,293559,None,eukaryota,11704,0,11712,Penicillium concentricum
33,UP000011064,658429,PSED2,eukaryota,9073,49,9124,Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21) (Bat white-nose syndrome fungus) (Geomyces destructans)
36,UP000016936,701091,COCH5,eukaryota,12852,5,13316,Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis)
37,UP000188320,1213189,ZANCU,eukaryota,7387,0,8058,Zancudomyces culisetae (Gut fungus) (Smittium culisetae)
43,UP000266234,694270,None,eukaryota,11420,0,11422,Fusarium longipes
61,UP000037505,1509407,ASPN3,eukaryota,11916,0,11916,Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)
78,UP000092177,759273,COLHI,eukaryota,14636,0,14672,Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)
122,UP000077684,13291,None,eukaryota,9880,0,9886,Tilletia controversa (dwarf bunt fungus)
129,UP000011761,717646,BAUPA,eukaryota,10508,0,10508,Baudoinia panamericana (strain UAMH 10762) (Angels' share fungus) (Baudoinia compniacensis (strain UAMH 10762))
133,UP000266152,5514,FUSSP,eukaryota,11960,0,11961,Fusarium sporotrichioides
135,UP000001072,747676,MELLP,eukaryota,16237,0,16372,Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus)
142,UP000433883,5025,VENIN,eukaryota,10094,0,16669,Venturia inaequalis (Apple scab fungus)
154,UP000016923,1262450,OPHP1,eukaryota,8878,0,8884,Ophiostoma piceae (strain UAMH 11346) (Sap stain fungus)
156,UP000011668,983506,THACA,eukaryota,10482,0,10489,Thanatephorus cucumeris (strain AG1-IA) (Rice sheath blight fungus) (Rhizoctonia solani)
158,UP000030669,670483,GLOTA,eukaryota,11735,0,11755,Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)
176,UP000536275,5476,CANAX,eukaryota,6758,600,7616,Candida albicans (Yeast)
204,UP000736672,169388,FUSSL,eukaryota,17641,0,17655,Fusarium solani (Filamentous fungus)
206,UP000215289,1245748,None,eukaryota,9174,0,9174,Aspergillus turcosus
219,UP000272442,1960876,None,eukaryota,8895,0,8895,Aspergillus sp. HF37
221,UP000654913,1220207,None,eukaryota,13616,0,13628,Aspergillus puulaauensis
223,UP000054524,1913371,NEMA1,eukaryota,2428,0,2896,Nematocida ausubeli (strain ATCC PRA-371 / ERTm2) (Nematode killer fungus)
242,UP000053841,930089,COCC2,eukaryota,12851,0,12853,Cochliobolus carbonum (strain 26-R-13) (Maize leaf spot fungus) (Bipolaris zeicola)
277,UP000286921,105351,ASPAW,eukaryota,11139,0,11224,Aspergillus awamori (Black koji mold)
278,UP000184063,1137211,ASPLC,eukaryota,13490,1,13503,Aspergillus luchuensis (strain CBS 106.47)
